timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480563.433:   2103  78  10  768
1477480563.436:   2075  78  10  768
1477480563.440:   2049  78  10  768
1477480563.440:   2023  78  10  768
1477480563.442:   1999  78  10  768
1477480563.443:   1971  78  10  768
1477480563.454:   1936  78  10  768
1477480563.455:   1893  78  10  768
1477480563.455:   1849  78  10  768
1477480563.456:   1813  78  10  768
1477480563.457:   1788  78  10  768
1477480563.457:   1767  78  10  768
1477480563.458:   1743  78  10  768
1477480563.459:   1715  78  10  768
1477480563.461:   1687  78  10  768
1477480563.463:   1659  78  10  768
1477480563.475:   1633  78  10  768
1477480563.476:   1609  78  10  768
1477480563.477:   1586  78  10  768
1477480563.478:   1560  78  10  768
1477480563.479:   1530  78  10  768
1477480563.479:   1497  78  10  768
1477480563.480:   1468  78  10  768
1477480563.482:   1446  78  10  768
1477480563.496:   1429  78  10  768
1477480563.497:   1416  78  10  768
1477480563.498:   1401  78  10  768
1477480563.499:   1381  78  10  768
1477480563.499:   1357  78  10  768
1477480563.500:   1331  78  10  768
1477480563.501:   1306  78  10  768
1477480563.503:   1281  78  10  768
1477480563.503:   1254  78  10  768
1477480563.504:   1221  78  10  768
1477480563.505:   1186  78  10  768
1477480563.505:   1155  78  10  768
1477480563.508:   1129  78  10  768
1477480563.508:   1102  78  10  768
1477480563.522:   1069  78  10  768
1477480563.523:   1034  78  10  768
1477480563.524:   1006  78  10  768
1477480563.525:    992  78  10  768
1477480563.525:    985  78  10  768
1477480563.526:    973  78  10  768
1477480563.527:    950  78  10  768
1477480563.528:    924  78  10  768
1477480563.528:    904  78  10  768
1477480563.529:    896  78  10  768
1477480563.542:    891  78  10  768
1477480563.542:    881  78  10  768
1477480563.543:    862  78  10  768
1477480563.544:    836  78  10  768
1477480563.545:    812  78  10  768
1477480563.546:    794  78  10  768
1477480563.547:    781  78  10  768
1477480563.547:    764  78  10  768
1477480563.548:    741  78  10  768
1477480563.548:    713  78  10  768
1477480563.560:    686  78  10  768
1477480563.560:    664  78  10  768
1477480563.560:    646  78  10  768
1477480563.561:    632  78  10  768
1477480563.561:    619  78  10  768
1477480563.563:    610  78  10  768
1477480563.563:    603  78  10  768
1477480563.565:    595  78  10  768
1477480563.565:    581  78  10  768
1477480563.566:    566  78  10  768
1477480563.567:    557  78  10  768
1477480563.571:    558  78  10  768
1477480563.572:    556  78  10  768
1477480563.572:    536  78  10  768
1477480563.578:    498  78  10  768
1477480563.579:    462  78  10  768
1477480563.591:    445  78  10  768
1477480563.592:    444  78  10  768
1477480563.593:    435  78  10  768
1477480563.593:    403  78  10  768
1477480563.595:    361  78  10  768
1477480563.595:    330  78  10  768
1477480563.596:    318  78  10  768
1477480563.597:    310  78  10  768
1477480563.597:    292  78  10  768
1477480563.598:    262  78  10  768
1477480563.599:    231  78  10  768
1477480563.603:    204  78  10  768
1477480563.610:    179  78  10  768
1477480563.611:    150  78  10  768
1477480563.612:    122  78  10  768
1477480563.613:     94  78  10  768
1477480563.613:     66  78  10  768
1477480563.614:     36  78  10  768
1477480563.615:      8  78  10  768
1477480563.617:    -14  78  10  768
1477480563.630:    -33  78  10  768
1477480563.631:    -55  78  10  768
1477480563.631:    -86  78  10  768
1477480563.632:   -124  78  10  768
