timestamp: ADC HeartRate4sAverage HeartRate30sAverage HRV8sAverage
1477480355.012:   -880 106  14  581
1477480355.012:   -892 106  14  581
1477480355.013:   -878 106  14  581
1477480355.013:   -862 106  14  581
1477480355.013:   -859 106  14  581
1477480355.013:   -867 106  14  581
1477480355.013:   -863 106  14  581
1477480355.013:   -827 106  14  581
1477480355.013:   -760 106  14  581
1477480355.013:   -690 106  14  581
1477480355.013:   -648 106  14  581
1477480355.014:   -643 106  14  581
1477480355.014:   -650 106  14  581
1477480355.014:   -645 106  14  581
1477480355.014:   -619 106  14  581
1477480355.014:   -586 106  14  581
1477480355.015:   -552 106  14  581
1477480355.015:   -513 106  14  581
1477480355.015:   -461 106  14  581
1477480355.015:   -404 106  14  581
1477480355.015:   -361 106  14  581
1477480355.015:   -341 106  14  581
1477480355.015:   -332 106  14  581
1477480355.016:   -318 106  14  581
1477480355.016:   -300 106  14  581
1477480355.016:   -288 106  14  581
1477480355.016:   -290 106  14  581
1477480355.016:   -301 106  14  581
1477480355.016:   -311 106  14  581
1477480355.016:   -309 106  14  581
1477480355.017:   -285 106  14  581
1477480355.017:   -242 106  14  581
1477480355.017:   -197 106  14  581
1477480355.017:   -174 106  14  581
1477480355.017:   -181 106  14  581
1477480355.017:   -194 106  14  581
1477480355.018:   -176 106  14  581
1477480355.018:   -119 106  14  581
1477480355.018:    -56 106  14  581
1477480355.018:    -27 106  14  581
1477480355.018:    -36 106  14  581
1477480355.018:    -56 106  14  581
1477480355.018:    -53 106  14  581
1477480355.019:    -23 106  14  581
1477480355.019:     14 106  14  581
1477480355.019:     41 106  14  581
1477480355.019:     56 106  14  581
1477480355.019:     62 106  14  581
1477480355.019:     58 106  14  581
1477480355.019:     48 106  14  581
1477480355.020:     42 106  14  581
1477480355.020:     52 106  14  581
1477480355.020:     68 106  14  581
1477480355.020:     67 106  14  581
1477480355.020:     33 106  14  581
1477480355.020:    -17 106  14  581
1477480355.021:    -47 106  14  581
1477480355.021:    -38 106  14  581
1477480355.021:     -6 106  14  581
1477480355.021:     14 106  14  581
1477480355.021:     10 106  14  581
1477480355.021:     -3 106  14  581
1477480355.021:     -4 106  14  581
1477480355.022:      5 106  14  581
1477480355.022:      8 106  14  581
1477480355.024:     -3 106  14  581
1477480355.025:    -10 106  14  581
1477480355.026:      3 106  14  581
1477480355.027:     28 106  14  581
1477480355.028:     43 106  14  581
1477480355.032:     42 106  14  581
1477480355.033:     45 106  14  581
1477480355.039:     69 106  14  581
1477480355.053:    113 106  14  581
1477480355.053:    155 106  14  581
1477480355.053:    186 106  14  581
1477480355.053:    212 106  14  581
1477480355.053:    242 106  14  581
1477480355.054:    265 106  14  581
1477480355.054:    272 106  14  581
1477480355.057:    269 106  14  581
1477480355.058:    276 106  14  581
1477480355.059:    294 106  14  581
1477480355.059:    302 106  14  581
1477480355.060:    286 106  14  581
1477480355.061:    258 106  14  581
1477480355.063:    252 106  14  581
1477480355.089:    279 106  14  581
1477480355.090:    322 106  14  581
1477480355.091:    352 106  14  581
1477480355.092:    360 106  14  581
1477480355.092:    364 106  14  581
1477480355.093:    373 106  14  581
1477480355.093:    380 106  14  581
1477480355.094:    374 106  14  581
1477480355.095:    357 106  14  581
1477480355.095:    349 106  14  581
1477480355.096:    362 106  14  581
1477480355.097:    389 107  14  587
1477480355.098:    413 107  14  587
1477480355.098:    428 107  14  587
1477480355.099:    442 107  14  587
1477480355.100:    468 107  14  587
1477480355.101:    505 107  14  587
1477480355.101:    544 107  14  587
1477480355.101:    577 107  14  587
1477480355.103:    600 107  14  587
1477480355.119:    619 107  14  587
1477480355.120:    637 107  14  587
1477480355.121:    658 107  14  587
1477480355.122:    684 107  14  587
1477480355.122:    708 107  14  587
1477480355.123:    716 107  14  587
1477480355.124:    700 107  14  587
1477480355.124:    673 107  14  587
1477480355.125:    657 107  14  587
1477480355.125:    665 107  14  587
1477480355.126:    688 107  14  587
1477480355.127:    711 107  14  587
1477480355.128:    725 107  14  587
1477480355.130:    737 107  14  587
1477480355.139:    752 107  14  587
1477480355.140:    771 107  14  587
1477480355.143:    794 107  14  587
1477480355.145:    825 107  14  587
1477480355.146:    854 107  14  587
1477480355.148:    859 107  14  587
1477480355.148:    833 107  14  587
1477480355.149:    799 107  14  587
1477480355.150:    796 107  14  587
1477480355.152:    830 107  14  587
1477480355.155:    862 107  14  587
1477480355.155:    845 107  14  587
1477480355.157:    787 107  14  587
1477480355.158:    745 107  14  587
1477480355.170:    758 107  14  587
1477480355.171:    810 107  14  587
1477480355.172:    848 107  14  587
1477480355.173:    850 107  14  587
1477480355.174:    844 107  14  587
1477480355.174:    861 107  14  587
1477480355.175:    897 107  14  587
1477480355.176:    916 107  14  587
1477480355.177:    895 107  14  587
1477480355.178:    849 107  14  587
1477480355.190:    814 107  14  587
1477480355.191:    804 107  14  587
1477480355.192:    813 107  14  587
1477480355.194:    827 107  14  587
1477480355.194:    842 107  14  587
1477480355.195:    864 107  14  587
1477480355.195:    899 107  14  587
1477480355.196:    944 107  14  587
1477480355.197:    982 107  14  587
1477480355.197:   1001 107  14  587
1477480355.210:   1000 107  14  587
1477480355.211:    995 107  14  587
1477480355.212:    998 107  14  587
1477480355.212:   1007 107  14  587
1477480355.214:   1006 107  14  587
1477480355.214:    989 107  14  587
1477480355.215:    965 107  14  587
1477480355.217:    948 107  14  587
1477480355.220:    944 107  14  587
1477480355.221:    945 107  14  587
1477480355.222:    944 107  14  587
1477480355.223:    943 107  14  587
1477480355.224:    948 107  14  587
1477480355.227:    957 107  14  587
1477480355.228:    969 107  14  587
1477480355.230:    985 107  14  587
1477480355.232:    999 107  14  587
1477480355.234:    993 107  14  587
1477480355.244:    953 107  14  587
